image,noise_ratio,method,PSNR,SSIM,IEF
kodim01,0.1,DBRAMF W3×3,31.25066434879834,0.9754107250934704,37.52596672633139
kodim01,0.1,DBRAMF W5×5,31.25066434879834,0.9754107250934704,37.52596672633139
kodim01,0.1,DBRAMF W7×7,31.25066434879834,0.9754107250934704,37.52596672633139
kodim01,0.2,DBRAMF W3×3,29.248430869717495,0.9485114927351793,47.157625282482776
kodim01,0.2,DBRAMF W5×5,29.248430869717495,0.9485114927351793,47.157625282482776
kodim01,0.2,DBRAMF W7×7,29.248430869717495,0.9485114927351793,47.157625282482776
kodim01,0.3,DBRAMF W3×3,27.56362573057467,0.9140177207390376,47.9983287775301
kodim01,0.3,DBRAMF W5×5,27.563639881632504,0.9140177459935632,47.9984851756105
kodim01,0.3,DBRAMF W7×7,27.563639881632504,0.9140177459935632,47.9984851756105
kodim01,0.4,DBRAMF W3×3,26.0594009282711,0.8706192657537579,45.166095696943735
kodim01,0.4,DBRAMF W5×5,26.05941744905806,0.8706193113818562,45.166267511437155
kodim01,0.4,DBRAMF W7×7,26.05941744905806,0.8706193113818562,45.166267511437155
kodim01,0.5,DBRAMF W3×3,24.60246587201157,0.8141963594356789,40.322522030356915
kodim01,0.5,DBRAMF W5×5,24.602477684380155,0.8141964056127424,40.32263170366845
kodim01,0.5,DBRAMF W7×7,24.602477684380155,0.8141964056127424,40.32263170366845
kodim01,0.6,DBRAMF W3×3,23.27656314924201,0.7424559310281713,35.65755501045548
kodim01,0.6,DBRAMF W5×5,23.276571853796778,0.7424559151901233,35.657626478886336
kodim01,0.6,DBRAMF W7×7,23.276571853796778,0.7424559151901233,35.657626478886336
kodim01,0.7,DBRAMF W3×3,21.918912510716826,0.6497266877896347,30.39759146885617
kodim01,0.7,DBRAMF W5×5,21.91891948610364,0.6497265385979578,30.3976402917489
kodim01,0.7,DBRAMF W7×7,21.91891948610364,0.6497265385979578,30.3976402917489
kodim01,0.8,DBRAMF W3×3,20.55071603282223,0.5306091234186138,25.367710806939602
kodim01,0.8,DBRAMF W5×5,20.55071603282223,0.5306091234186138,25.367710806939602
kodim01,0.8,DBRAMF W7×7,20.5507864307257,0.5306120514933786,25.368122013667996
kodim01,0.9,DBRAMF W3×3,18.76214983893966,0.3664390595929917,18.9159033072336
kodim01,0.9,DBRAMF W5×5,18.76214983893966,0.3664390595929917,18.9159033072336
kodim01,0.9,DBRAMF W7×7,18.7622475906476,0.3664527131229131,18.91632907425165
kodim02,0.1,DBRAMF W3×3,34.417832997328276,0.9835968943675631,80.85725655008396
kodim02,0.1,DBRAMF W5×5,34.417832997328276,0.9835968943675631,80.85725655008396
kodim02,0.1,DBRAMF W7×7,34.417832997328276,0.9835968943675631,80.85725655008396
kodim02,0.2,DBRAMF W3×3,33.644861766257605,0.9666373487984518,135.3808755284584
kodim02,0.2,DBRAMF W5×5,33.644861766257605,0.9666373487984518,135.3808755284584
kodim02,0.2,DBRAMF W7×7,33.644861766257605,0.9666373487984518,135.3808755284584
kodim02,0.3,DBRAMF W3×3,32.85074913216106,0.9467148508290781,168.91998238989936
kodim02,0.3,DBRAMF W5×5,32.850900090168906,0.9467150135608752,168.92585404341392
kodim02,0.3,DBRAMF W7×7,32.850900090168906,0.9467150135608752,168.92585404341392
kodim02,0.4,DBRAMF W3×3,32.06700291595435,0.9228244874102866,187.84258674008532
kodim02,0.4,DBRAMF W5×5,32.067224636021365,0.9228248994353437,187.85217689971486
kodim02,0.4,DBRAMF W7×7,32.067224636021365,0.9228248994353437,187.85217689971486
kodim02,0.5,DBRAMF W3×3,31.138893866238906,0.8934585541535253,189.5498865171056
kodim02,0.5,DBRAMF W5×5,31.139072923510707,0.8934589675925536,189.5577017177686
kodim02,0.5,DBRAMF W7×7,31.139072923510707,0.8934589675925536,189.5577017177686
kodim02,0.6,DBRAMF W3×3,30.1499327881808,0.8570487128435454,181.15390568689503
kodim02,0.6,DBRAMF W5×5,30.15007537981029,0.8570492725599385,181.1598535991379
kodim02,0.6,DBRAMF W7×7,30.15007537981029,0.8570492725599385,181.1598535991379
kodim02,0.7,DBRAMF W3×3,29.083143375965108,0.8120709623500953,165.4081942333991
kodim02,0.7,DBRAMF W5×5,29.083269902396932,0.812071713005443,165.41301327079188
kodim02,0.7,DBRAMF W7×7,29.083269902396932,0.812071713005443,165.41301327079188
kodim02,0.8,DBRAMF W3×3,27.592488250751313,0.7561754021395066,134.20036245359947
kodim02,0.8,DBRAMF W5×5,27.592488250751313,0.7561754021395066,134.20036245359947
kodim02,0.8,DBRAMF W7×7,27.592602410542106,0.7561477822505419,134.2038901260196
