noise_ratio,method,PSNR,SSIM,IEF
0.1,BDND,31.8975,0.9809,69.8433
0.1,DBRAMF,32.8446,0.9822,74.2696
0.1,Mean Filter,22.7666,0.4382,5.7949
0.1,SMF (3x3),29.3415,0.8675,32.1201
0.2,BDND,30.5179,0.9645,92.3409
0.2,DBRAMF,31.1839,0.9648,96.9481
0.2,Mean Filter,19.9882,0.3057,6.0376
0.2,SMF (3x3),26.683,0.8193,31.3289
0.3,BDND,29.3587,0.9452,102.5574
0.3,DBRAMF,29.7886,0.9433,104.8996
0.3,Mean Filter,18.1069,0.2324,5.8652
0.3,SMF (3x3),22.446,0.6794,16.3241
0.4,BDND,28.3314,0.9225,105.8731
0.4,DBRAMF,28.4413,0.9161,102.7838
0.4,Mean Filter,16.6348,0.1815,5.5774
0.4,SMF (3x3),18.3256,0.45,8.2219
0.5,BDND,27.3777,0.8956,104.9526
0.5,DBRAMF,27.0635,0.8806,94.7538
0.5,Mean Filter,15.423,0.1429,5.284
0.5,SMF (3x3),14.8677,0.2371,4.6076
0.6,BDND,26.4264,0.8629,100.159
0.6,DBRAMF,25.7041,0.8337,83.0037
0.6,Mean Filter,14.4017,0.1132,5.0223
0.6,SMF (3x3),12.059,0.1127,2.8912
0.7,BDND,25.428,0.8221,91.9607
0.7,DBRAMF,24.2344,0.7695,68.7647
0.7,Mean Filter,13.4948,0.0876,4.7642
0.7,SMF (3x3),9.7687,0.0554,1.9894
0.8,BDND,24.2632,0.7656,79.6131
0.8,DBRAMF,22.4785,0.6778,51.3628
0.8,Mean Filter,12.6903,0.0659,4.534
0.8,SMF (3x3),7.9108,0.0276,1.4821
0.9,BDND,22.5049,0.66,58.4483
0.9,DBRAMF,19.8349,0.5389,30.5723
0.9,Mean Filter,11.958,0.0469,4.3172
0.9,SMF (3x3),6.4235,0.0126,1.1837
